Title;Location;Salary;Description
Mobile Software Engineer;;From £41,600 to £52,000 per annum;Staines Hybrid working options Permanent Contract £41,600 - £52,000 Full time, 37.5 hours per week Here youll be welcomed. We champion diversity and we understand the importance of our people representing the communities and customers we serve. Youll find an inclusive environment where you can be yourself and where everyone is driven by the same purpose helping people live longer, healthier, happier lives and making a better world. At Bupa, were passionate about technology. With colleagues, customers, patients and residents in mind youll have the opportunity to work on innovative projects and make a real impact on their lives. Right from the start youll become part of our digital strategy, joining us on our journey and developing yourself along the way. Role Overview
Software Engineer;;Competitive;About BP INNOVATION & ENGINEERING Join us in creating, growing, and delivering innovation at pace, enabling us to thrive while transitioning to a net zero world. All without compromising our operational risk management. • deploying our integrated capability and standards in service of our net zero and safety ambitions • driving our digital transformation and pioneering new business models • collaborating to deliver competitive customer-focused energy solutions • originating, scaling and commercialising innovative ideas, and creating ground-breaking new businesses from them • protecting us by assuring management of our greatest physical and digital risks • Originators, builders, guardians and disruptors • Engineers, technologists, scientists and entrepreneurs • Empathetic, curious, creative and inclusive, Job Family Group IT &S Group Legal disclaimer
Software Engineer;;£65k - 110k per year + Bonus + Benefits;Software Developers (Mid-Level to team leads) Permanent Position £65,000 - £110,000 per annum + Bonus + Benefits SoCode has partnered with a brand new, ground breaking Fintech start-up. We are currently looking for sharp and Innovative C#/.Net Software Engineers to join their team to help scale and grow this exceptional business. We are on a mission to make frictionless international transfers instantaneous. We are now looking for those brilliant engineers to help them on their journey to reinvent the process of cross-border settlements. A successful candidate will be required to effectively design and deliver new greenfield services whilst building and improving the current platform.
Apple Media Products - Software Engineer (Java);;Unspecified;Summary Weekly Hours: 35 Role Number:200432982 What happens when the world's most innovative engineers collaborate with the world's most creative storytellers? TV gets reinvented. Meet the reinventors: The Apple Video Services teams created and manage the Apple TV app, which redefined and refined the way people watch their favourite shows, movies and so much more - including everything we love from the major subscription services. Today, these teams also manage one of the most exciting new realms at Apple: They bring viewers the critically acclaimed and award winning Apple Originals in Apple TV+. And they've engineered it so it can be enjoyed not only on Apple devices, but also directly on many new televisions and third-party streaming devices.
Software Engineer - Mid level - Up to £60K;;£50000 - £60000 per annum;Software Engineer - Mid level * Paying up to £60K * Hybrid - 2 days a week in the Clapham office * Strong Python experience * Some experience with TypeScript and JavaScript A new Software Engineering (Mid-level) opportunity has arisen to join a Women's Fashion and Lifestyle brand. They can be found in one of the UK's largest departments stores and are trusted by thousands of women across the country. A sociable company who regularly hose bake-off style events, yoga and netball. With 9 people in the tech team, you'll have the responsibilities to validate, design and build new additions to the platforms. Please note that TypeScript and JavaScript experience is desirable. If you are interested in this Software Engineer opportunity, please get in touch, and apply below.
Software Engineer;;£37.80 - 50.42 per hour;Our Client has a vacancy for a software engineer to join one of their project teams. The successful candidate will be working on the software development and maintenance of the Submarine Command System (SMCS) for the UK Royal Navy’s submarines. You could also be involved in the production of technical documentation and test scripts. • Ada applications engineer with experience in mission critical real-time embedded software systems. C++ experience also desirable. • Experience/knowledge of formal design methods using modern tools (EA, Rhapsody, UML, etc). • Experience of formal software Configuration Management tools (for example, SBM) and formal Change Control processes (Defect reports, change requests, etc). • Understanding of test techniques and competent at running tests and identifying and analysing bugs.
Principal Software Engineer (C#/.Net Core/Azure);;£90000 - £140000 per annum;£90,000 - £140,000 depending on experience I am working with an exciting international SaaS tech business that has just closed a series C round of funding at over £60 million. They have just hired a new CTO who has previously scaled several large tech companies across the US, Canada and the UK. Following this we are looking to hire a new Principal Engineer (C#/.Net Core/Azure) to join the UK team as they start some large-scale projects. You will help drive the technical strategy, working closely a team of product engineers and data engineers to build and maintain a scalable and highly available cloud-based SaaS platform. * Salary offering aligned to 2022 market rates with bonus and shares * The chance to work on an industry leading SaaS product for a multiple Billion-pound Tech Scale Up
.NET Software Engineer;;Up to £60000.00 per annum;Bracknell (Onsite once a Week) £60,000+ Bonus I am on the hunt for a passionate software engineer with .NET, AWS and microservices experience to be part of an amazing team within the finance sector focusing on currency and exchange! In this role you will be working in an agile style environment to deliver and own a mobile and web application which will be built upon a highly shared and available API backend. * Be a team player and contribute to the full software development life cycle. * Mentor and support junior developers in your team * Use your relevant experience and knowledge to drive technical design decisions and discussion * Collaborate with different teams such as Product owners, UX designers and many more. Requirements; * Experience with .NET, AWS and Microservices (4+ years) * Experience in developing a web application using C#
Software Engineers X3;;40000-85000;If you’re a talented C++ Engineer interested in technology within broadcasting this could be the ideal position for you. Our client is committed to improving data compression using game changing technologies, and are looking for C++ Software Engineers to join the growing team. The roles are hybrid out of London, and they can accommodate varying levels of experience. Someone with experience within broadcast / set top box / IOT highly beneficial. * Relevant degree or commercial software development experience * C++ experience in a commercial environment * STB software development and integration experience * Video streaming and or packaging experience * Assembly development (Arm preferable) * Image processing experience If you’re interested please apply with the latest version of you CV for immediate consideration.
Lead .NET Software Engineer - London/Hybrid- Payments project;;£100000 - £130000 per annum + + Bonus and Benefits;Lead .NET Software Engineer - London- Financial Services- up to £130k plus bonus and benefits Our client a leading financial services client that focuses predominantly on commodities and the forex market are looking for 1-2 experienced Lead Full Stack .NET Software Engineer to join their team purely due to organic growth and to work on a major tech initiative where they are working on a new front to back, post transaction technology product. This role sits within their global payments team and the product you work on generates over 150 million dollars worth of revenue a year and this growing over 20% YOY. The role would be fully hands on with mentoring more junior members and driving technical direction. * C# * .NET * SQL/NoSql * RabbitMQ (or similar) * ReactJS * Cloud (Azure/AWS/GCP- client uses Azure) * CI/CD * TDD
